date,admin1,admin2,market,market_id,latitude,category,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,longitude,commodity
2006-01-15,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,51,KG,actual,Wholesale,KES,16.13,0.22,39.67,Maize
2006-01-15,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,67,KG,actual,Wholesale,KES,16.444444444444443,20.58,39.67,Maize (white)
2006-01-15,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,50,KG,actual,Wholesale,KES,33.63,0.47,39.67,Beans
2006-01-15,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,262,KG,actual,Wholesale,KES,36.06666666666667,45.15,39.67,Beans (dry)
2006-01-15,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,67,KG,actual,Retail,KES,17.0,0.24,38.02,Maize (white)
2006-01-15,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,148,KG,actual,Wholesale,KES,24.9998,17.39,38.02,Potatoes (Irish)
2006-01-15,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,65,KG,actual,Wholesale,KES,20.0,25.03,38.02,Sorghum
2006-01-15,Eastern,Kitui,Kitui,187,-1.37,pulses and nuts,262,KG,actual,Retail,KES,39.0,0.54,38.02,Beans (dry)
2006-01-15,Eastern,Marsabit,Marsabit,190,2.33,cereals and tubers,67,KG,actual,Retail,KES,21.0,0.29,37.98,Maize (white)
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,55,G,actual,Retail,KES,0.065,0.36,36.82,Bread
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,51,KG,actual,Wholesale,KES,15.48,0.22,36.82,Maize
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,67,KG,actual,Wholesale,KES,15.544444444444444,19.46,36.82,Maize (white)
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,148,KG,actual,Wholesale,KES,13.288599999999999,9.24,36.82,Potatoes (Irish)
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,65,KG,actual,Wholesale,KES,21.77777777777778,27.26,36.82,Sorghum
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,milk and dairy,472,ML,actual,Retail,KES,0.044,0.31,36.82,"Milk (cow, pasteurized)"
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,oil and fats,96,L,actual,Retail,KES,115.0,1.6,36.82,Oil (vegetable)
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,pulses and nuts,50,KG,actual,Wholesale,KES,42.31,0.59,36.82,Beans
2006-01-15,Nairobi,Nairobi,Nairobi,184,-1.28,pulses and nuts,262,KG,actual,Wholesale,KES,35.27777777777778,44.16,36.82,Beans (dry)
2006-01-15,North Eastern,Mandera,Mandera,189,3.94,cereals and tubers,67,KG,actual,Retail,KES,30.0,0.42,41.86,Maize (white)
2006-01-15,Nyanza,Kisumu,Kisumu,186,-0.1,cereals and tubers,51,KG,actual,Wholesale,KES,14.84,0.21,34.75,Maize
