date,admin1,admin2,market,market_id,latitude,category,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,longitude,commodity
15/01/2006,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,51,KG,actual,Wholesale,KES,16.13,0.22,39.67,Maize
15/01/2006,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,67,90 KG,actual,Wholesale,KES,1480,20.58,39.67,Maize (white)
15/01/2006,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,50,KG,actual,Wholesale,KES,33.63,0.47,39.67,Beans
15/01/2006,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,262,90 KG,actual,Wholesale,KES,3246,45.15,39.67,Beans (dry)
15/01/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,67,KG,actual,Retail,KES,17,0.24,38.02,Maize (white)
15/01/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,148,50 KG,actual,Wholesale,KES,1249.99,17.39,38.02,Potatoes (Irish)
15/01/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,65,90 KG,actual,Wholesale,KES,1800,25.03,38.02,Sorghum
15/01/2006,Eastern,Kitui,Kitui,187,-1.37,pulses and nuts,262,KG,actual,Retail,KES,39,0.54,38.02,Beans (dry)
15/01/2006,Eastern,Marsabit,Marsabit,190,2.33,cereals and tubers,67,KG,actual,Retail,KES,21,0.29,37.98,Maize (white)
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,55,400 G,actual,Retail,KES,26,0.36,36.82,Bread
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,51,KG,actual,Wholesale,KES,15.48,0.22,36.82,Maize
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,67,90 KG,actual,Wholesale,KES,1399,19.46,36.82,Maize (white)
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,148,50 KG,actual,Wholesale,KES,664.43,9.24,36.82,Potatoes (Irish)
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,65,90 KG,actual,Wholesale,KES,1960,27.26,36.82,Sorghum
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,milk and dairy,472,500 ML,actual,Retail,KES,22,0.31,36.82,"Milk (cow, pasteurized)"
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,oil and fats,96,L,actual,Retail,KES,115,1.6,36.82,Oil (vegetable)
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,pulses and nuts,50,KG,actual,Wholesale,KES,42.31,0.59,36.82,Beans
15/01/2006,Nairobi,Nairobi,Nairobi,184,-1.28,pulses and nuts,262,90 KG,actual,Wholesale,KES,3175,44.16,36.82,Beans (dry)
15/01/2006,North Eastern,Mandera,Mandera,189,3.94,cereals and tubers,67,KG,actual,Retail,KES,30,0.42,41.86,Maize (white)
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,cereals and tubers,51,KG,actual,Wholesale,KES,14.84,0.21,34.75,Maize
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,cereals and tubers,67,90 KG,actual,Wholesale,KES,1320,18.36,34.75,Maize (white)
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,cereals and tubers,148,50 KG,actual,Wholesale,KES,1074.07,14.94,34.75,Potatoes (Irish)
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,cereals and tubers,65,90 KG,actual,Wholesale,KES,1600,22.25,34.75,Sorghum
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,pulses and nuts,50,KG,actual,Wholesale,KES,39.61,0.55,34.75,Beans
15/01/2006,Nyanza,Kisumu,Kisumu,186,-0.1,pulses and nuts,262,90 KG,actual,Wholesale,KES,4000,55.63,34.75,Beans (dry)
15/01/2006,Rift Valley,Turkana,Lodwar (Turkana),188,3.12,cereals and tubers,67,KG,actual,Retail,KES,26,0.36,35.6,Maize (white)
15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,cereals and tubers,51,KG,actual,Wholesale,KES,12.96,0.18,35.28,Maize
15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,cereals and tubers,67,90 KG,actual,Wholesale,KES,1192,16.58,35.28,Maize (white)
15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,pulses and nuts,50,KG,actual,Wholesale,KES,45.85,0.64,35.28,Beans
15/01/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),185,0.52,pulses and nuts,262,90 KG,actual,Wholesale,KES,2799,38.93,35.28,Beans (dry)
15/02/2006,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,51,KG,actual,Wholesale,KES,16.41,0.23,39.67,Maize
15/02/2006,Coast,Mombasa,Mombasa,191,-4.05,cereals and tubers,67,90 KG,actual,Wholesale,KES,1523,21.24,39.67,Maize (white)
15/02/2006,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,50,KG,actual,Wholesale,KES,39.48,0.55,39.67,Beans
15/02/2006,Coast,Mombasa,Mombasa,191,-4.05,pulses and nuts,262,90 KG,actual,Wholesale,KES,3400,47.42,39.67,Beans (dry)
15/02/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,67,KG,actual,Retail,KES,18,0.25,38.02,Maize (white)
15/02/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,148,50 KG,actual,Wholesale,KES,1555.55,21.7,38.02,Potatoes (Irish)
15/02/2006,Eastern,Kitui,Kitui,187,-1.37,cereals and tubers,65,90 KG,actual,Wholesale,KES,2000,27.89,38.02,Sorghum
15/02/2006,Eastern,Kitui,Kitui,187,-1.37,pulses and nuts,262,KG,actual,Retail,KES,42,0.59,38.02,Beans (dry)
15/02/2006,Eastern,Marsabit,Marsabit,190,2.33,cereals and tubers,67,KG,actual,Retail,KES,22,0.31,37.98,Maize (white)
15/02/2006,Nairobi,Nairobi,Nairobi,184,-1.28,cereals and tubers,55,400 G,actual,Retail,KES,26,0.36,36.82,Bread
